 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 290820 Conceição da Feira
Período:2011
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";849;817;1666
"De 5 a 9 anos";939;883;1822
"De 10 a 14 anos";1011;973;1984
"De 15 a 19 anos";1006;958;1964
"De 20 a 24 anos";929;915;1844
"De 25 a 29 anos";1002;1007;2009
"De 30 a 34 anos";909;970;1879
"De 35 a 39 anos";768;835;1603
"De 40 a 44 anos";663;681;1344
"De 45 a 49 anos";529;555;1084
"De 50 a 54 anos";421;454;875
"De 55 a 59 anos";345;428;773
"De 60 a 64 anos";277;348;625
"De 65 a 69 anos";208;299;507
"De 70 a 74 anos";166;230;396
"De 75 a 79 anos";105;196;301
"De 80 anos ou mais";113;238;351
"Total";10240;10787;21027
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

