 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 291030 Elísio Medrado
Período:2002
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";351;315;666
"De 5 a 9 anos";384;356;740
"De 10 a 14 anos";411;414;825
"De 15 a 19 anos";474;441;915
"De 20 a 24 anos";396;376;772
"De 25 a 29 anos";282;279;561
"De 30 a 34 anos";240;240;480
"De 35 a 39 anos";241;240;481
"De 40 a 44 anos";222;229;451
"De 45 a 49 anos";194;203;397
"De 50 a 54 anos";170;168;338
"De 55 a 59 anos";154;142;296
"De 60 a 64 anos";130;152;282
"De 65 a 69 anos";123;151;274
"De 70 a 74 anos";104;119;223
"De 75 a 79 anos";80;100;180
"De 80 anos ou mais";77;110;187
"Total";4033;4035;8068
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

