 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 291230 Ibicuí
Período:2016
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";573;547;1120
"De 5 a 9 anos";615;568;1183
"De 10 a 14 anos";673;644;1317
"De 15 a 19 anos";665;617;1282
"De 20 a 24 anos";684;700;1384
"De 25 a 29 anos";630;641;1271
"De 30 a 34 anos";643;644;1287
"De 35 a 39 anos";667;605;1272
"De 40 a 44 anos";504;504;1008
"De 45 a 49 anos";475;461;936
"De 50 a 54 anos";486;405;891
"De 55 a 59 anos";397;377;774
"De 60 a 64 anos";298;322;620
"De 65 a 69 anos";250;262;512
"De 70 a 74 anos";209;229;438
"De 75 a 79 anos";156;208;364
"De 80 anos ou mais";194;239;433
"Total";8119;7973;16092
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

