 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 291340 Igaporã
Período:2007
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";623;580;1203
"De 5 a 9 anos";693;657;1350
"De 10 a 14 anos";748;738;1486
"De 15 a 19 anos";801;823;1624
"De 20 a 24 anos";808;794;1602
"De 25 a 29 anos";713;659;1372
"De 30 a 34 anos";554;530;1084
"De 35 a 39 anos";504;489;993
"De 40 a 44 anos";456;438;894
"De 45 a 49 anos";384;408;792
"De 50 a 54 anos";323;348;671
"De 55 a 59 anos";298;292;590
"De 60 a 64 anos";249;221;470
"De 65 a 69 anos";217;218;435
"De 70 a 74 anos";142;171;313
"De 75 a 79 anos";123;134;257
"De 80 anos ou mais";155;186;341
"Total";7791;7686;15477
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

