 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 291470 Itaberaba
Período:2020
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";2391;2280;4671
"De 5 a 9 anos";2367;2282;4649
"De 10 a 14 anos";2514;2432;4946
"De 15 a 19 anos";2661;2679;5340
"De 20 a 24 anos";2641;2620;5261
"De 25 a 29 anos";2539;2581;5120
"De 30 a 34 anos";2680;2791;5471
"De 35 a 39 anos";2553;2877;5430
"De 40 a 44 anos";2306;2392;4698
"De 45 a 49 anos";1912;2022;3934
"De 50 a 54 anos";1588;1842;3430
"De 55 a 59 anos";1380;1630;3010
"De 60 a 64 anos";1153;1292;2445
"De 65 a 69 anos";810;1072;1882
"De 70 a 74 anos";681;870;1551
"De 75 a 79 anos";501;719;1220
"De 80 anos ou mais";586;1002;1588
"Total";31263;33383;64646
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

