 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 291530 Itagimirim
Período:2002
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";400;396;796
"De 5 a 9 anos";399;406;805
"De 10 a 14 anos";409;384;793
"De 15 a 19 anos";464;454;918
"De 20 a 24 anos";418;401;819
"De 25 a 29 anos";298;278;576
"De 30 a 34 anos";256;228;484
"De 35 a 39 anos";232;230;462
"De 40 a 44 anos";213;208;421
"De 45 a 49 anos";193;186;379
"De 50 a 54 anos";154;153;307
"De 55 a 59 anos";124;117;241
"De 60 a 64 anos";111;103;214
"De 65 a 69 anos";96;96;192
"De 70 a 74 anos";87;65;152
"De 75 a 79 anos";53;48;101
"De 80 anos ou mais";43;62;105
"Total";3950;3815;7765
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

