 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 291630 Itapebi
Período:2006
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";591;556;1147
"De 5 a 9 anos";656;656;1312
"De 10 a 14 anos";556;580;1136
"De 15 a 19 anos";563;556;1119
"De 20 a 24 anos";535;519;1054
"De 25 a 29 anos";445;446;891
"De 30 a 34 anos";353;352;705
"De 35 a 39 anos";307;336;643
"De 40 a 44 anos";309;309;618
"De 45 a 49 anos";288;241;529
"De 50 a 54 anos";231;224;455
"De 55 a 59 anos";177;172;349
"De 60 a 64 anos";160;130;290
"De 65 a 69 anos";114;123;237
"De 70 a 74 anos";101;67;168
"De 75 a 79 anos";74;43;117
"De 80 anos ou mais";81;83;164
"Total";5541;5393;10934
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

