 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 291650 Itapicuru
Período:2001
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";1856;1858;3714
"De 5 a 9 anos";1859;1816;3675
"De 10 a 14 anos";1789;1598;3387
"De 15 a 19 anos";1721;1554;3275
"De 20 a 24 anos";1354;1233;2587
"De 25 a 29 anos";997;947;1944
"De 30 a 34 anos";901;824;1725
"De 35 a 39 anos";766;687;1453
"De 40 a 44 anos";633;619;1252
"De 45 a 49 anos";536;528;1064
"De 50 a 54 anos";497;498;995
"De 55 a 59 anos";458;473;931
"De 60 a 64 anos";395;418;813
"De 65 a 69 anos";300;325;625
"De 70 a 74 anos";245;215;460
"De 75 a 79 anos";200;192;392
"De 80 anos ou mais";167;200;367
"Total";14674;13985;28659
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

