 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 291670 Itaquara
Período:2003
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";350;346;696
"De 5 a 9 anos";404;412;816
"De 10 a 14 anos";431;446;877
"De 15 a 19 anos";454;443;897
"De 20 a 24 anos";381;339;720
"De 25 a 29 anos";305;258;563
"De 30 a 34 anos";254;214;468
"De 35 a 39 anos";218;212;430
"De 40 a 44 anos";198;192;390
"De 45 a 49 anos";178;176;354
"De 50 a 54 anos";149;144;293
"De 55 a 59 anos";114;105;219
"De 60 a 64 anos";95;107;202
"De 65 a 69 anos";84;108;192
"De 70 a 74 anos";75;78;153
"De 75 a 79 anos";66;62;128
"De 80 anos ou mais";79;73;152
"Total";3835;3715;7550
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

