 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 291685 Itatim
Período:2018
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";566;540;1106
"De 5 a 9 anos";576;543;1119
"De 10 a 14 anos";634;575;1209
"De 15 a 19 anos";652;617;1269
"De 20 a 24 anos";659;640;1299
"De 25 a 29 anos";642;634;1276
"De 30 a 34 anos";592;622;1214
"De 35 a 39 anos";570;601;1171
"De 40 a 44 anos";467;511;978
"De 45 a 49 anos";402;409;811
"De 50 a 54 anos";359;380;739
"De 55 a 59 anos";285;308;593
"De 60 a 64 anos";208;233;441
"De 65 a 69 anos";167;204;371
"De 70 a 74 anos";135;181;316
"De 75 a 79 anos";89;130;219
"De 80 anos ou mais";123;178;301
"Total";7126;7306;14432
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

