 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 291690 Itiruçu
Período:2017
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";424;404;828
"De 5 a 9 anos";457;425;882
"De 10 a 14 anos";507;472;979
"De 15 a 19 anos";544;500;1044
"De 20 a 24 anos";537;505;1042
"De 25 a 29 anos";489;487;976
"De 30 a 34 anos";498;507;1005
"De 35 a 39 anos";483;493;976
"De 40 a 44 anos";398;421;819
"De 45 a 49 anos";361;395;756
"De 50 a 54 anos";356;378;734
"De 55 a 59 anos";340;339;679
"De 60 a 64 anos";263;277;540
"De 65 a 69 anos";183;218;401
"De 70 a 74 anos";148;201;349
"De 75 a 79 anos";111;174;285
"De 80 anos ou mais";138;245;383
"Total";6237;6441;12678
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

