 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 291810 Jeremoabo
Período:2005
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";1897;1821;3718
"De 5 a 9 anos";2110;1971;4081
"De 10 a 14 anos";2103;1936;4039
"De 15 a 19 anos";2049;1946;3995
"De 20 a 24 anos";1880;1725;3605
"De 25 a 29 anos";1435;1341;2776
"De 30 a 34 anos";1214;1186;2400
"De 35 a 39 anos";1193;1164;2357
"De 40 a 44 anos";968;1002;1970
"De 45 a 49 anos";817;805;1622
"De 50 a 54 anos";678;718;1396
"De 55 a 59 anos";642;654;1296
"De 60 a 64 anos";561;615;1176
"De 65 a 69 anos";439;455;894
"De 70 a 74 anos";298;338;636
"De 75 a 79 anos";226;249;475
"De 80 anos ou mais";354;381;735
"Total";18864;18307;37171
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

