 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 291875 Lagoa Real
Período:2007
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";536;504;1040
"De 5 a 9 anos";726;680;1406
"De 10 a 14 anos";778;739;1517
"De 15 a 19 anos";818;754;1572
"De 20 a 24 anos";817;682;1499
"De 25 a 29 anos";621;545;1166
"De 30 a 34 anos";505;418;923
"De 35 a 39 anos";424;380;804
"De 40 a 44 anos";361;363;724
"De 45 a 49 anos";340;305;645
"De 50 a 54 anos";274;272;546
"De 55 a 59 anos";258;247;505
"De 60 a 64 anos";201;208;409
"De 65 a 69 anos";185;168;353
"De 70 a 74 anos";122;136;258
"De 75 a 79 anos";88;96;184
"De 80 anos ou mais";115;161;276
"Total";7169;6658;13827
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

