 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 291970 Macarani
Período:2020
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";705;672;1377
"De 5 a 9 anos";706;671;1377
"De 10 a 14 anos";733;720;1453
"De 15 a 19 anos";714;748;1462
"De 20 a 24 anos";811;828;1639
"De 25 a 29 anos";847;837;1684
"De 30 a 34 anos";863;884;1747
"De 35 a 39 anos";759;730;1489
"De 40 a 44 anos";644;639;1283
"De 45 a 49 anos";486;512;998
"De 50 a 54 anos";507;526;1033
"De 55 a 59 anos";440;443;883
"De 60 a 64 anos";368;351;719
"De 65 a 69 anos";282;279;561
"De 70 a 74 anos";217;233;450
"De 75 a 79 anos";167;174;341
"De 80 anos ou mais";190;223;413
"Total";9439;9470;18909
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

