 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 292030 Malhada de Pedras
Período:2009
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";316;321;637
"De 5 a 9 anos";362;368;730
"De 10 a 14 anos";430;417;847
"De 15 a 19 anos";409;414;823
"De 20 a 24 anos";423;364;787
"De 25 a 29 anos";381;342;723
"De 30 a 34 anos";327;295;622
"De 35 a 39 anos";298;293;591
"De 40 a 44 anos";300;277;577
"De 45 a 49 anos";254;217;471
"De 50 a 54 anos";188;189;377
"De 55 a 59 anos";159;171;330
"De 60 a 64 anos";164;154;318
"De 65 a 69 anos";163;156;319
"De 70 a 74 anos";116;105;221
"De 75 a 79 anos";68;57;125
"De 80 anos ou mais";87;98;185
"Total";4445;4238;8683
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

