 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 292090 Mascote
Período:2019
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";609;580;1189
"De 5 a 9 anos";632;567;1199
"De 10 a 14 anos";612;529;1141
"De 15 a 19 anos";559;526;1085
"De 20 a 24 anos";590;559;1149
"De 25 a 29 anos";493;499;992
"De 30 a 34 anos";473;489;962
"De 35 a 39 anos";505;458;963
"De 40 a 44 anos";448;432;880
"De 45 a 49 anos";342;364;706
"De 50 a 54 anos";372;360;732
"De 55 a 59 anos";362;352;714
"De 60 a 64 anos";318;299;617
"De 65 a 69 anos";265;228;493
"De 70 a 74 anos";211;174;385
"De 75 a 79 anos";139;129;268
"De 80 anos ou mais";190;157;347
"Total";7120;6702;13822
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

