 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 292130 Milagres
Período:2014
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";430;413;843
"De 5 a 9 anos";460;462;922
"De 10 a 14 anos";517;531;1048
"De 15 a 19 anos";528;535;1063
"De 20 a 24 anos";461;512;973
"De 25 a 29 anos";421;456;877
"De 30 a 34 anos";420;443;863
"De 35 a 39 anos";398;427;825
"De 40 a 44 anos";380;373;753
"De 45 a 49 anos";329;334;663
"De 50 a 54 anos";256;278;534
"De 55 a 59 anos";207;240;447
"De 60 a 64 anos";186;192;378
"De 65 a 69 anos";152;187;339
"De 70 a 74 anos";109;127;236
"De 75 a 79 anos";93;114;207
"De 80 anos ou mais";108;174;282
"Total";5455;5798;11253
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

