 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 292230 Muritiba
Período:2004
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";1386;1351;2737
"De 5 a 9 anos";1483;1528;3011
"De 10 a 14 anos";1551;1574;3125
"De 15 a 19 anos";1754;1763;3517
"De 20 a 24 anos";1691;1714;3405
"De 25 a 29 anos";1328;1363;2691
"De 30 a 34 anos";1125;1207;2332
"De 35 a 39 anos";985;1055;2040
"De 40 a 44 anos";836;940;1776
"De 45 a 49 anos";658;748;1406
"De 50 a 54 anos";522;652;1174
"De 55 a 59 anos";450;587;1037
"De 60 a 64 anos";352;514;866
"De 65 a 69 anos";279;452;731
"De 70 a 74 anos";236;322;558
"De 75 a 79 anos";180;252;432
"De 80 anos ou mais";203;381;584
"Total";15019;16403;31422
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

