 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 292273 Nova Fátima
Período:2007
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";287;275;562
"De 5 a 9 anos";336;323;659
"De 10 a 14 anos";363;360;723
"De 15 a 19 anos";373;370;743
"De 20 a 24 anos";366;363;729
"De 25 a 29 anos";315;308;623
"De 30 a 34 anos";283;299;582
"De 35 a 39 anos";281;291;572
"De 40 a 44 anos";263;248;511
"De 45 a 49 anos";204;214;418
"De 50 a 54 anos";173;176;349
"De 55 a 59 anos";155;158;313
"De 60 a 64 anos";129;139;268
"De 65 a 69 anos";115;124;239
"De 70 a 74 anos";87;75;162
"De 75 a 79 anos";54;62;116
"De 80 anos ou mais";72;80;152
"Total";3856;3865;7721
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

