 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 292350 Palmeiras
Período:2002
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";492;424;916
"De 5 a 9 anos";460;438;898
"De 10 a 14 anos";412;426;838
"De 15 a 19 anos";431;423;854
"De 20 a 24 anos";373;370;743
"De 25 a 29 anos";295;291;586
"De 30 a 34 anos";262;260;522
"De 35 a 39 anos";225;232;457
"De 40 a 44 anos";185;184;369
"De 45 a 49 anos";156;165;321
"De 50 a 54 anos";134;143;277
"De 55 a 59 anos";124;137;261
"De 60 a 64 anos";113;127;240
"De 65 a 69 anos";84;105;189
"De 70 a 74 anos";65;91;156
"De 75 a 79 anos";51;84;135
"De 80 anos ou mais";72;97;169
"Total";3934;3997;7931
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

