 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 292420 Pedro Alexandre
Período:2004
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";962;924;1886
"De 5 a 9 anos";1100;1061;2161
"De 10 a 14 anos";1056;1050;2106
"De 15 a 19 anos";1022;989;2011
"De 20 a 24 anos";910;814;1724
"De 25 a 29 anos";725;676;1401
"De 30 a 34 anos";660;619;1279
"De 35 a 39 anos";527;491;1018
"De 40 a 44 anos";383;387;770
"De 45 a 49 anos";336;320;656
"De 50 a 54 anos";266;256;522
"De 55 a 59 anos";248;240;488
"De 60 a 64 anos";217;190;407
"De 65 a 69 anos";135;121;256
"De 70 a 74 anos";113;97;210
"De 75 a 79 anos";71;75;146
"De 80 anos ou mais";86;81;167
"Total";8817;8391;17208
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

