 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 292430 Piatã
Período:2009
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";799;769;1568
"De 5 a 9 anos";921;848;1769
"De 10 a 14 anos";961;883;1844
"De 15 a 19 anos";887;889;1776
"De 20 a 24 anos";752;800;1552
"De 25 a 29 anos";661;731;1392
"De 30 a 34 anos";607;656;1263
"De 35 a 39 anos";507;566;1073
"De 40 a 44 anos";514;518;1032
"De 45 a 49 anos";435;495;930
"De 50 a 54 anos";435;499;934
"De 55 a 59 anos";386;401;787
"De 60 a 64 anos";334;361;695
"De 65 a 69 anos";256;324;580
"De 70 a 74 anos";217;273;490
"De 75 a 79 anos";136;213;349
"De 80 anos ou mais";187;297;484
"Total";8995;9523;18518
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

