 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 292660 Ribeira do Pombal
Período:2016
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";1967;1878;3845
"De 5 a 9 anos";2046;1938;3984
"De 10 a 14 anos";2307;2175;4482
"De 15 a 19 anos";2507;2471;4978
"De 20 a 24 anos";2324;2356;4680
"De 25 a 29 anos";2157;2247;4404
"De 30 a 34 anos";1941;2163;4104
"De 35 a 39 anos";1842;2009;3851
"De 40 a 44 anos";1588;1783;3371
"De 45 a 49 anos";1537;1658;3195
"De 50 a 54 anos";1339;1387;2726
"De 55 a 59 anos";1094;1125;2219
"De 60 a 64 anos";856;994;1850
"De 65 a 69 anos";809;827;1636
"De 70 a 74 anos";636;701;1337
"De 75 a 79 anos";439;501;940
"De 80 anos ou mais";481;559;1040
"Total";25870;26772;52642
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

