 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 292920 São Francisco do Conde
Período:2013
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";1433;1390;2823
"De 5 a 9 anos";1524;1474;2998
"De 10 a 14 anos";1723;1598;3321
"De 15 a 19 anos";1831;1757;3588
"De 20 a 24 anos";1605;1641;3246
"De 25 a 29 anos";1563;1701;3264
"De 30 a 34 anos";1577;1849;3426
"De 35 a 39 anos";1414;1577;2991
"De 40 a 44 anos";1154;1245;2399
"De 45 a 49 anos";982;1058;2040
"De 50 a 54 anos";727;855;1582
"De 55 a 59 anos";565;633;1198
"De 60 a 64 anos";389;471;860
"De 65 a 69 anos";273;353;626
"De 70 a 74 anos";189;253;442
"De 75 a 79 anos";111;178;289
"De 80 anos ou mais";116;183;299
"Total";17176;18216;35392
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

