 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 293110 Tanquinho
Período:2002
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";376;361;737
"De 5 a 9 anos";377;364;741
"De 10 a 14 anos";396;370;766
"De 15 a 19 anos";498;443;941
"De 20 a 24 anos";442;392;834
"De 25 a 29 anos";328;312;640
"De 30 a 34 anos";260;288;548
"De 35 a 39 anos";224;256;480
"De 40 a 44 anos";211;229;440
"De 45 a 49 anos";180;191;371
"De 50 a 54 anos";154;171;325
"De 55 a 59 anos";133;174;307
"De 60 a 64 anos";113;130;243
"De 65 a 69 anos";90;99;189
"De 70 a 74 anos";67;83;150
"De 75 a 79 anos";74;89;163
"De 80 anos ou mais";78;111;189
"Total";4001;4063;8064
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

