 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 293120 Taperoá
Período:2013
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";927;876;1803
"De 5 a 9 anos";1010;906;1916
"De 10 a 14 anos";1076;976;2052
"De 15 a 19 anos";1060;996;2056
"De 20 a 24 anos";937;901;1838
"De 25 a 29 anos";868;864;1732
"De 30 a 34 anos";807;800;1607
"De 35 a 39 anos";654;630;1284
"De 40 a 44 anos";516;536;1052
"De 45 a 49 anos";494;491;985
"De 50 a 54 anos";454;425;879
"De 55 a 59 anos";360;354;714
"De 60 a 64 anos";284;281;565
"De 65 a 69 anos";214;213;427
"De 70 a 74 anos";157;162;319
"De 75 a 79 anos";117;123;240
"De 80 anos ou mais";138;143;281
"Total";10073;9677;19750
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

