 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 293315 Várzea Nova
Período:2012
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";544;531;1075
"De 5 a 9 anos";555;554;1109
"De 10 a 14 anos";651;617;1268
"De 15 a 19 anos";692;632;1324
"De 20 a 24 anos";591;552;1143
"De 25 a 29 anos";510;493;1003
"De 30 a 34 anos";477;458;935
"De 35 a 39 anos";421;415;836
"De 40 a 44 anos";389;415;804
"De 45 a 49 anos";376;385;761
"De 50 a 54 anos";316;327;643
"De 55 a 59 anos";274;282;556
"De 60 a 64 anos";266;250;516
"De 65 a 69 anos";215;208;423
"De 70 a 74 anos";161;151;312
"De 75 a 79 anos";104;101;205
"De 80 anos ou mais";109;140;249
"Total";6651;6511;13162
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

