 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 310190 Alpinópolis
Período:2000
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";899;859;1758
"De 5 a 9 anos";905;843;1748
"De 10 a 14 anos";942;801;1743
"De 15 a 19 anos";875;791;1666
"De 20 a 24 anos";745;663;1408
"De 25 a 29 anos";707;627;1334
"De 30 a 34 anos";746;685;1431
"De 35 a 39 anos";701;634;1335
"De 40 a 44 anos";621;534;1155
"De 45 a 49 anos";479;493;972
"De 50 a 54 anos";396;329;725
"De 55 a 59 anos";279;290;569
"De 60 a 64 anos";244;238;482
"De 65 a 69 anos";187;220;407
"De 70 a 74 anos";181;169;350
"De 75 a 79 anos";119;124;243
"De 80 anos ou mais";64;79;143
"Total";9090;8379;17469
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

