 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 310420 Arcos
Período:2009
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";1172;1127;2299
"De 5 a 9 anos";1253;1187;2440
"De 10 a 14 anos";1476;1400;2876
"De 15 a 19 anos";1514;1519;3033
"De 20 a 24 anos";1693;1601;3294
"De 25 a 29 anos";1697;1670;3367
"De 30 a 34 anos";1505;1514;3019
"De 35 a 39 anos";1375;1401;2776
"De 40 a 44 anos";1416;1472;2888
"De 45 a 49 anos";1316;1393;2709
"De 50 a 54 anos";1126;1180;2306
"De 55 a 59 anos";906;909;1815
"De 60 a 64 anos";669;712;1381
"De 65 a 69 anos";512;497;1009
"De 70 a 74 anos";350;383;733
"De 75 a 79 anos";229;280;509
"De 80 anos ou mais";210;300;510
"Total";18419;18545;36964
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

