 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 310460 Astolfo Dutra
Período:2003
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";480;454;934
"De 5 a 9 anos";525;493;1018
"De 10 a 14 anos";558;536;1094
"De 15 a 19 anos";583;562;1145
"De 20 a 24 anos";556;533;1089
"De 25 a 29 anos";489;490;979
"De 30 a 34 anos";472;480;952
"De 35 a 39 anos";483;499;982
"De 40 a 44 anos";434;438;872
"De 45 a 49 anos";385;373;758
"De 50 a 54 anos";310;307;617
"De 55 a 59 anos";258;278;536
"De 60 a 64 anos";219;233;452
"De 65 a 69 anos";191;175;366
"De 70 a 74 anos";151;155;306
"De 75 a 79 anos";118;116;234
"De 80 anos ou mais";86;113;199
"Total";6298;6235;12533
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

