 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 310550 Barão de Monte Alto
Período:2018
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";156;148;304
"De 5 a 9 anos";159;147;306
"De 10 a 14 anos";165;147;312
"De 15 a 19 anos";173;170;343
"De 20 a 24 anos";176;214;390
"De 25 a 29 anos";182;218;400
"De 30 a 34 anos";184;183;367
"De 35 a 39 anos";174;178;352
"De 40 a 44 anos";167;181;348
"De 45 a 49 anos";170;189;359
"De 50 a 54 anos";188;198;386
"De 55 a 59 anos";184;187;371
"De 60 a 64 anos";161;162;323
"De 65 a 69 anos";140;133;273
"De 70 a 74 anos";107;103;210
"De 75 a 79 anos";79;78;157
"De 80 anos ou mais";113;129;242
"Total";2678;2765;5443
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

