 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 310730 Bocaiúva
Período:2020
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";1866;1780;3646
"De 5 a 9 anos";1821;1749;3570
"De 10 a 14 anos";1749;1690;3439
"De 15 a 19 anos";1999;1815;3814
"De 20 a 24 anos";2139;1941;4080
"De 25 a 29 anos";2178;2156;4334
"De 30 a 34 anos";2252;2195;4447
"De 35 a 39 anos";1938;1901;3839
"De 40 a 44 anos";1710;1871;3581
"De 45 a 49 anos";1500;1611;3111
"De 50 a 54 anos";1522;1537;3059
"De 55 a 59 anos";1336;1307;2643
"De 60 a 64 anos";1030;1112;2142
"De 65 a 69 anos";765;832;1597
"De 70 a 74 anos";545;599;1144
"De 75 a 79 anos";370;456;826
"De 80 anos ou mais";392;592;984
"Total";25112;25144;50256
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

