 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 310750 Bom Jardim de Minas
Período:2001
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";288;283;571
"De 5 a 9 anos";284;292;576
"De 10 a 14 anos";302;286;588
"De 15 a 19 anos";336;287;623
"De 20 a 24 anos";289;279;568
"De 25 a 29 anos";232;246;478
"De 30 a 34 anos";265;252;517
"De 35 a 39 anos";260;272;532
"De 40 a 44 anos";244;237;481
"De 45 a 49 anos";206;186;392
"De 50 a 54 anos";174;157;331
"De 55 a 59 anos";140;131;271
"De 60 a 64 anos";124;138;262
"De 65 a 69 anos";112;115;227
"De 70 a 74 anos";76;80;156
"De 75 a 79 anos";52;72;124
"De 80 anos ou mais";47;45;92
"Total";3431;3358;6789
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

