 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 311020 Cajuri
Período:2010
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";132;126;258
"De 5 a 9 anos";158;123;281
"De 10 a 14 anos";214;151;365
"De 15 a 19 anos";182;188;370
"De 20 a 24 anos";188;158;346
"De 25 a 29 anos";179;161;340
"De 30 a 34 anos";153;162;315
"De 35 a 39 anos";128;118;246
"De 40 a 44 anos";136;109;245
"De 45 a 49 anos";141;124;265
"De 50 a 54 anos";150;128;278
"De 55 a 59 anos";103;113;216
"De 60 a 64 anos";76;70;146
"De 65 a 69 anos";83;72;155
"De 70 a 74 anos";47;59;106
"De 75 a 79 anos";41;50;91
"De 80 anos ou mais";48;50;98
"Total";2159;1962;4121
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

