 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 311040 Camacho
Período:2012
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";85;81;166
"De 5 a 9 anos";112;88;200
"De 10 a 14 anos";127;114;241
"De 15 a 19 anos";134;118;252
"De 20 a 24 anos";134;122;256
"De 25 a 29 anos";137;119;256
"De 30 a 34 anos";145;111;256
"De 35 a 39 anos";125;112;237
"De 40 a 44 anos";114;108;222
"De 45 a 49 anos";112;98;210
"De 50 a 54 anos";105;98;203
"De 55 a 59 anos";93;84;177
"De 60 a 64 anos";80;69;149
"De 65 a 69 anos";63;51;114
"De 70 a 74 anos";44;38;82
"De 75 a 79 anos";28;33;61
"De 80 anos ou mais";23;36;59
"Total";1661;1480;3141
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

