 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 311150 Campos Altos
Período:2007
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";598;597;1195
"De 5 a 9 anos";661;621;1282
"De 10 a 14 anos";675;628;1303
"De 15 a 19 anos";703;648;1351
"De 20 a 24 anos";672;644;1316
"De 25 a 29 anos";652;584;1236
"De 30 a 34 anos";562;519;1081
"De 35 a 39 anos";516;506;1022
"De 40 a 44 anos";478;444;922
"De 45 a 49 anos";420;395;815
"De 50 a 54 anos";367;343;710
"De 55 a 59 anos";283;275;558
"De 60 a 64 anos";198;220;418
"De 65 a 69 anos";148;177;325
"De 70 a 74 anos";123;140;263
"De 75 a 79 anos";77;97;174
"De 80 anos ou mais";78;85;163
"Total";7211;6923;14134
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

