 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 311200 Candeias
Período:2016
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";370;353;723
"De 5 a 9 anos";377;348;725
"De 10 a 14 anos";441;420;861
"De 15 a 19 anos";534;521;1055
"De 20 a 24 anos";559;526;1085
"De 25 a 29 anos";608;530;1138
"De 30 a 34 anos";579;551;1130
"De 35 a 39 anos";578;539;1117
"De 40 a 44 anos";538;537;1075
"De 45 a 49 anos";569;530;1099
"De 50 a 54 anos";523;512;1035
"De 55 a 59 anos";502;482;984
"De 60 a 64 anos";479;395;874
"De 65 a 69 anos";345;311;656
"De 70 a 74 anos";232;246;478
"De 75 a 79 anos";175;180;355
"De 80 anos ou mais";215;273;488
"Total";7624;7254;14878
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

