 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 311210 Caparaó
Período:2011
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";210;181;391
"De 5 a 9 anos";259;226;485
"De 10 a 14 anos";291;270;561
"De 15 a 19 anos";262;224;486
"De 20 a 24 anos";254;247;501
"De 25 a 29 anos";259;215;474
"De 30 a 34 anos";234;199;433
"De 35 a 39 anos";200;179;379
"De 40 a 44 anos";196;167;363
"De 45 a 49 anos";151;144;295
"De 50 a 54 anos";136;139;275
"De 55 a 59 anos";129;96;225
"De 60 a 64 anos";86;67;153
"De 65 a 69 anos";51;52;103
"De 70 a 74 anos";41;36;77
"De 75 a 79 anos";30;33;63
"De 80 anos ou mais";25;31;56
"Total";2814;2506;5320
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

