 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 311420 Carmo do Cajuru
Período:2009
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";722;689;1411
"De 5 a 9 anos";789;769;1558
"De 10 a 14 anos";929;925;1854
"De 15 a 19 anos";890;839;1729
"De 20 a 24 anos";899;799;1698
"De 25 a 29 anos";854;824;1678
"De 30 a 34 anos";817;808;1625
"De 35 a 39 anos";774;770;1544
"De 40 a 44 anos";744;738;1482
"De 45 a 49 anos";672;678;1350
"De 50 a 54 anos";532;556;1088
"De 55 a 59 anos";429;433;862
"De 60 a 64 anos";368;375;743
"De 65 a 69 anos";258;292;550
"De 70 a 74 anos";199;213;412
"De 75 a 79 anos";116;153;269
"De 80 anos ou mais";124;176;300
"Total";10116;10037;20153
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

