 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 311470 Carvalhópolis
Período:2004
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";134;126;260
"De 5 a 9 anos";156;136;292
"De 10 a 14 anos";122;119;241
"De 15 a 19 anos";131;131;262
"De 20 a 24 anos";122;128;250
"De 25 a 29 anos";114;108;222
"De 30 a 34 anos";116;110;226
"De 35 a 39 anos";129;124;253
"De 40 a 44 anos";121;108;229
"De 45 a 49 anos";128;107;235
"De 50 a 54 anos";95;80;175
"De 55 a 59 anos";78;78;156
"De 60 a 64 anos";63;54;117
"De 65 a 69 anos";58;48;106
"De 70 a 74 anos";49;47;96
"De 75 a 79 anos";39;43;82
"De 80 anos ou mais";41;34;75
"Total";1696;1581;3277
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

