 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 311520 Conceição da Barra de Minas
Período:2014
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";109;104;213
"De 5 a 9 anos";123;110;233
"De 10 a 14 anos";159;138;297
"De 15 a 19 anos";183;165;348
"De 20 a 24 anos";174;147;321
"De 25 a 29 anos";165;151;316
"De 30 a 34 anos";159;146;305
"De 35 a 39 anos";161;150;311
"De 40 a 44 anos";149;145;294
"De 45 a 49 anos";159;142;301
"De 50 a 54 anos";135;118;253
"De 55 a 59 anos";106;95;201
"De 60 a 64 anos";88;79;167
"De 65 a 69 anos";74;73;147
"De 70 a 74 anos";57;52;109
"De 75 a 79 anos";46;42;88
"De 80 anos ou mais";46;44;90
"Total";2093;1901;3994
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

