 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 311545 Catuji
Período:2012
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";306;280;586
"De 5 a 9 anos";332;322;654
"De 10 a 14 anos";369;356;725
"De 15 a 19 anos";368;347;715
"De 20 a 24 anos";308;302;610
"De 25 a 29 anos";257;255;512
"De 30 a 34 anos";223;237;460
"De 35 a 39 anos";202;203;405
"De 40 a 44 anos";196;179;375
"De 45 a 49 anos";179;167;346
"De 50 a 54 anos";152;160;312
"De 55 a 59 anos";128;141;269
"De 60 a 64 anos";102;112;214
"De 65 a 69 anos";80;84;164
"De 70 a 74 anos";67;70;137
"De 75 a 79 anos";50;55;105
"De 80 anos ou mais";42;81;123
"Total";3361;3351;6712
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

