 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 311547 Catuti
Período:2008
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";222;181;403
"De 5 a 9 anos";280;228;508
"De 10 a 14 anos";308;276;584
"De 15 a 19 anos";289;285;574
"De 20 a 24 anos";242;230;472
"De 25 a 29 anos";192;188;380
"De 30 a 34 anos";174;175;349
"De 35 a 39 anos";176;180;356
"De 40 a 44 anos";171;180;351
"De 45 a 49 anos";152;146;298
"De 50 a 54 anos";125;115;240
"De 55 a 59 anos";105;95;200
"De 60 a 64 anos";80;85;165
"De 65 a 69 anos";67;77;144
"De 70 a 74 anos";49;55;104
"De 75 a 79 anos";25;34;59
"De 80 anos ou mais";23;32;55
"Total";2680;2562;5242
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

