 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 311660 Cláudio
Período:2004
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";1053;1020;2073
"De 5 a 9 anos";1121;1146;2267
"De 10 a 14 anos";1185;1143;2328
"De 15 a 19 anos";1218;1177;2395
"De 20 a 24 anos";1174;1122;2296
"De 25 a 29 anos";1145;1048;2193
"De 30 a 34 anos";983;940;1923
"De 35 a 39 anos";927;863;1790
"De 40 a 44 anos";863;822;1685
"De 45 a 49 anos";694;675;1369
"De 50 a 54 anos";569;522;1091
"De 55 a 59 anos";424;418;842
"De 60 a 64 anos";332;337;669
"De 65 a 69 anos";272;290;562
"De 70 a 74 anos";212;225;437
"De 75 a 79 anos";158;182;340
"De 80 anos ou mais";118;184;302
"Total";12448;12114;24562
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

