 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 311690 Comendador Gomes
Período:2001
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";121;124;245
"De 5 a 9 anos";132;124;256
"De 10 a 14 anos";147;148;295
"De 15 a 19 anos";169;129;298
"De 20 a 24 anos";139;110;249
"De 25 a 29 anos";106;99;205
"De 30 a 34 anos";130;121;251
"De 35 a 39 anos";137;131;268
"De 40 a 44 anos";118;80;198
"De 45 a 49 anos";93;66;159
"De 50 a 54 anos";75;53;128
"De 55 a 59 anos";59;44;103
"De 60 a 64 anos";46;39;85
"De 65 a 69 anos";45;30;75
"De 70 a 74 anos";33;21;54
"De 75 a 79 anos";20;22;42
"De 80 anos ou mais";9;10;19
"Total";1579;1351;2930
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

