 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 311760 Conceição do Pará
Período:2008
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";194;175;369
"De 5 a 9 anos";207;201;408
"De 10 a 14 anos";229;204;433
"De 15 a 19 anos";220;215;435
"De 20 a 24 anos";232;209;441
"De 25 a 29 anos";214;198;412
"De 30 a 34 anos";199;186;385
"De 35 a 39 anos";197;169;366
"De 40 a 44 anos";180;188;368
"De 45 a 49 anos";166;159;325
"De 50 a 54 anos";147;132;279
"De 55 a 59 anos";142;111;253
"De 60 a 64 anos";104;99;203
"De 65 a 69 anos";85;94;179
"De 70 a 74 anos";68;64;132
"De 75 a 79 anos";47;57;104
"De 80 anos ou mais";48;57;105
"Total";2679;2518;5197
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

