 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 311780 Conceição dos Ouros
Período:2013
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";387;381;768
"De 5 a 9 anos";396;400;796
"De 10 a 14 anos";440;437;877
"De 15 a 19 anos";489;467;956
"De 20 a 24 anos";479;442;921
"De 25 a 29 anos";445;435;880
"De 30 a 34 anos";447;392;839
"De 35 a 39 anos";426;377;803
"De 40 a 44 anos";406;391;797
"De 45 a 49 anos";378;372;750
"De 50 a 54 anos";352;319;671
"De 55 a 59 anos";302;260;562
"De 60 a 64 anos";222;213;435
"De 65 a 69 anos";158;169;327
"De 70 a 74 anos";113;117;230
"De 75 a 79 anos";83;81;164
"De 80 anos ou mais";89;80;169
"Total";5612;5333;10945
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

