 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 311783 Cônego Marinho
Período:2010
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";276;249;525
"De 5 a 9 anos";367;368;735
"De 10 a 14 anos";408;411;819
"De 15 a 19 anos";426;392;818
"De 20 a 24 anos";318;292;610
"De 25 a 29 anos";272;262;534
"De 30 a 34 anos";238;217;455
"De 35 a 39 anos";225;203;428
"De 40 a 44 anos";190;184;374
"De 45 a 49 anos";185;165;350
"De 50 a 54 anos";165;166;331
"De 55 a 59 anos";146;152;298
"De 60 a 64 anos";144;147;291
"De 65 a 69 anos";120;96;216
"De 70 a 74 anos";71;91;162
"De 75 a 79 anos";59;67;126
"De 80 anos ou mais";68;91;159
"Total";3678;3553;7231
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

