 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 311800 Congonhas
Período:2004
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";1931;1844;3775
"De 5 a 9 anos";2106;2040;4146
"De 10 a 14 anos";2251;2171;4422
"De 15 a 19 anos";2355;2209;4564
"De 20 a 24 anos";2191;2156;4347
"De 25 a 29 anos";1821;1902;3723
"De 30 a 34 anos";1589;1756;3345
"De 35 a 39 anos";1695;1818;3513
"De 40 a 44 anos";1693;1752;3445
"De 45 a 49 anos";1450;1479;2929
"De 50 a 54 anos";1068;1069;2137
"De 55 a 59 anos";722;850;1572
"De 60 a 64 anos";552;620;1172
"De 65 a 69 anos";421;530;951
"De 70 a 74 anos";322;406;728
"De 75 a 79 anos";192;279;471
"De 80 anos ou mais";135;238;373
"Total";22494;23119;45613
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

