 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 311850 Consolação
Período:2000
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";76;84;160
"De 5 a 9 anos";74;85;159
"De 10 a 14 anos";78;81;159
"De 15 a 19 anos";84;78;162
"De 20 a 24 anos";64;54;118
"De 25 a 29 anos";69;61;130
"De 30 a 34 anos";77;66;143
"De 35 a 39 anos";60;59;119
"De 40 a 44 anos";67;45;112
"De 45 a 49 anos";45;36;81
"De 50 a 54 anos";53;46;99
"De 55 a 59 anos";44;40;84
"De 60 a 64 anos";37;36;73
"De 65 a 69 anos";26;33;59
"De 70 a 74 anos";24;15;39
"De 75 a 79 anos";10;19;29
"De 80 anos ou mais";10;7;17
"Total";898;845;1743
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

