 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 311940 Coronel Fabriciano
Período:2007
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";3992;3870;7862
"De 5 a 9 anos";4475;4294;8769
"De 10 a 14 anos";4577;4502;9079
"De 15 a 19 anos";4728;4684;9412
"De 20 a 24 anos";4872;4921;9793
"De 25 a 29 anos";4552;4696;9248
"De 30 a 34 anos";3925;4217;8142
"De 35 a 39 anos";3539;4052;7591
"De 40 a 44 anos";3533;3980;7513
"De 45 a 49 anos";3225;3611;6836
"De 50 a 54 anos";2700;2954;5654
"De 55 a 59 anos";1972;2229;4201
"De 60 a 64 anos";1407;1714;3121
"De 65 a 69 anos";1112;1433;2545
"De 70 a 74 anos";846;1083;1929
"De 75 a 79 anos";563;726;1289
"De 80 anos ou mais";449;739;1188
"Total";50467;53705;104172
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

