 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 311995 Córrego Fundo
Período:2004
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";204;189;393
"De 5 a 9 anos";246;216;462
"De 10 a 14 anos";243;237;480
"De 15 a 19 anos";261;246;507
"De 20 a 24 anos";266;282;548
"De 25 a 29 anos";254;229;483
"De 30 a 34 anos";222;224;446
"De 35 a 39 anos";244;208;452
"De 40 a 44 anos";222;183;405
"De 45 a 49 anos";170;155;325
"De 50 a 54 anos";137;132;269
"De 55 a 59 anos";102;112;214
"De 60 a 64 anos";100;88;188
"De 65 a 69 anos";83;76;159
"De 70 a 74 anos";54;53;107
"De 75 a 79 anos";35;37;72
"De 80 anos ou mais";33;40;73
"Total";2876;2707;5583
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

