 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 312040 Cristiano Otoni
Período:2010
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";182;179;361
"De 5 a 9 anos";230;210;440
"De 10 a 14 anos";235;216;451
"De 15 a 19 anos";241;218;459
"De 20 a 24 anos";215;187;402
"De 25 a 29 anos";203;208;411
"De 30 a 34 anos";235;227;462
"De 35 a 39 anos";175;158;333
"De 40 a 44 anos";185;176;361
"De 45 a 49 anos";163;154;317
"De 50 a 54 anos";116;158;274
"De 55 a 59 anos";131;111;242
"De 60 a 64 anos";98;100;198
"De 65 a 69 anos";53;79;132
"De 70 a 74 anos";52;68;120
"De 75 a 79 anos";29;42;71
"De 80 anos ou mais";20;45;65
"Total";2563;2536;5099
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

