 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 312140 Desterro de Entre Rios
Período:2015
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";193;184;377
"De 5 a 9 anos";210;202;412
"De 10 a 14 anos";242;199;441
"De 15 a 19 anos";254;242;496
"De 20 a 24 anos";284;277;561
"De 25 a 29 anos";281;236;517
"De 30 a 34 anos";322;212;534
"De 35 a 39 anos";266;211;477
"De 40 a 44 anos";238;267;505
"De 45 a 49 anos";256;261;517
"De 50 a 54 anos";255;271;526
"De 55 a 59 anos";231;208;439
"De 60 a 64 anos";171;184;355
"De 65 a 69 anos";156;171;327
"De 70 a 74 anos";121;151;272
"De 75 a 79 anos";97;105;202
"De 80 anos ou mais";106;131;237
"Total";3683;3512;7195
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

