 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 312240 Divisa Nova
Período:2003
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";284;254;538
"De 5 a 9 anos";296;270;566
"De 10 a 14 anos";282;282;564
"De 15 a 19 anos";281;275;556
"De 20 a 24 anos";255;232;487
"De 25 a 29 anos";218;209;427
"De 30 a 34 anos";199;186;385
"De 35 a 39 anos";204;178;382
"De 40 a 44 anos";195;173;368
"De 45 a 49 anos";169;141;310
"De 50 a 54 anos";139;120;259
"De 55 a 59 anos";116;101;217
"De 60 a 64 anos";101;91;192
"De 65 a 69 anos";88;81;169
"De 70 a 74 anos";77;62;139
"De 75 a 79 anos";62;44;106
"De 80 anos ou mais";39;45;84
"Total";3005;2744;5749
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

