 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 312340 Doresópolis
Período:2019
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";52;49;101
"De 5 a 9 anos";53;48;101
"De 10 a 14 anos";53;48;101
"De 15 a 19 anos";52;50;102
"De 20 a 24 anos";57;51;108
"De 25 a 29 anos";74;61;135
"De 30 a 34 anos";51;52;103
"De 35 a 39 anos";56;53;109
"De 40 a 44 anos";58;52;110
"De 45 a 49 anos";68;59;127
"De 50 a 54 anos";42;46;88
"De 55 a 59 anos";41;40;81
"De 60 a 64 anos";39;38;77
"De 65 a 69 anos";32;34;66
"De 70 a 74 anos";27;26;53
"De 75 a 79 anos";15;13;28
"De 80 anos ou mais";18;19;37
"Total";788;739;1527
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

