 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 312352 Durandé
Período:2019
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";311;297;608
"De 5 a 9 anos";296;273;569
"De 10 a 14 anos";295;255;550
"De 15 a 19 anos";317;308;625
"De 20 a 24 anos";334;352;686
"De 25 a 29 anos";326;314;640
"De 30 a 34 anos";330;308;638
"De 35 a 39 anos";349;286;635
"De 40 a 44 anos";268;282;550
"De 45 a 49 anos";228;246;474
"De 50 a 54 anos";232;210;442
"De 55 a 59 anos";208;196;404
"De 60 a 64 anos";160;171;331
"De 65 a 69 anos";123;111;234
"De 70 a 74 anos";90;77;167
"De 75 a 79 anos";53;64;117
"De 80 anos ou mais";84;87;171
"Total";4004;3837;7841
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

