 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 312390 Entre Rios de Minas
Período:2003
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";545;538;1083
"De 5 a 9 anos";605;611;1216
"De 10 a 14 anos";618;605;1223
"De 15 a 19 anos";656;639;1295
"De 20 a 24 anos";648;641;1289
"De 25 a 29 anos";565;558;1123
"De 30 a 34 anos";518;522;1040
"De 35 a 39 anos";503;515;1018
"De 40 a 44 anos";445;462;907
"De 45 a 49 anos";391;397;788
"De 50 a 54 anos";334;348;682
"De 55 a 59 anos";291;295;586
"De 60 a 64 anos";239;241;480
"De 65 a 69 anos";175;201;376
"De 70 a 74 anos";137;167;304
"De 75 a 79 anos";99;123;222
"De 80 anos ou mais";73;125;198
"Total";6842;6988;13830
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

