 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 312550 São Gonçalo do Rio Preto
Período:2015
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";110;105;215
"De 5 a 9 anos";116;92;208
"De 10 a 14 anos";118;125;243
"De 15 a 19 anos";129;144;273
"De 20 a 24 anos";152;147;299
"De 25 a 29 anos";138;134;272
"De 30 a 34 anos";106;119;225
"De 35 a 39 anos";119;113;232
"De 40 a 44 anos";95;120;215
"De 45 a 49 anos";105;99;204
"De 50 a 54 anos";91;95;186
"De 55 a 59 anos";62;68;130
"De 60 a 64 anos";56;74;130
"De 65 a 69 anos";42;82;124
"De 70 a 74 anos";43;45;88
"De 75 a 79 anos";19;31;50
"De 80 anos ou mais";19;30;49
"Total";1520;1623;3143
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

