 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 312825 Guaraciama
Período:2002
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";217;209;426
"De 5 a 9 anos";233;233;466
"De 10 a 14 anos";285;268;553
"De 15 a 19 anos";282;261;543
"De 20 a 24 anos";227;208;435
"De 25 a 29 anos";180;150;330
"De 30 a 34 anos";166;147;313
"De 35 a 39 anos";162;151;313
"De 40 a 44 anos";145;132;277
"De 45 a 49 anos";127;111;238
"De 50 a 54 anos";108;90;198
"De 55 a 59 anos";84;84;168
"De 60 a 64 anos";66;68;134
"De 65 a 69 anos";52;47;99
"De 70 a 74 anos";34;33;67
"De 75 a 79 anos";22;25;47
"De 80 anos ou mais";13;19;32
"Total";2403;2236;4639
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

