 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 312880 Guidoval
Período:2002
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";304;305;609
"De 5 a 9 anos";345;372;717
"De 10 a 14 anos";351;341;692
"De 15 a 19 anos";351;326;677
"De 20 a 24 anos";326;327;653
"De 25 a 29 anos";279;277;556
"De 30 a 34 anos";273;265;538
"De 35 a 39 anos";287;270;557
"De 40 a 44 anos";267;255;522
"De 45 a 49 anos";222;204;426
"De 50 a 54 anos";185;163;348
"De 55 a 59 anos";150;137;287
"De 60 a 64 anos";123;132;255
"De 65 a 69 anos";112;131;243
"De 70 a 74 anos";103;120;223
"De 75 a 79 anos";91;96;187
"De 80 anos ou mais";53;54;107
"Total";3822;3775;7597
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

