 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 312970 Ibiraci
Período:2019
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";538;513;1051
"De 5 a 9 anos";509;483;992
"De 10 a 14 anos";512;460;972
"De 15 a 19 anos";530;496;1026
"De 20 a 24 anos";607;592;1199
"De 25 a 29 anos";660;571;1231
"De 30 a 34 anos";617;522;1139
"De 35 a 39 anos";557;482;1039
"De 40 a 44 anos";536;428;964
"De 45 a 49 anos";465;421;886
"De 50 a 54 anos";400;384;784
"De 55 a 59 anos";362;309;671
"De 60 a 64 anos";340;263;603
"De 65 a 69 anos";251;219;470
"De 70 a 74 anos";179;149;328
"De 75 a 79 anos";114;106;220
"De 80 anos ou mais";123;130;253
"Total";7300;6528;13828
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

