 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 312990 Ibitiúra de Minas
Período:2018
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";89;85;174
"De 5 a 9 anos";87;88;175
"De 10 a 14 anos";104;106;210
"De 15 a 19 anos";135;123;258
"De 20 a 24 anos";138;130;268
"De 25 a 29 anos";134;130;264
"De 30 a 34 anos";138;119;257
"De 35 a 39 anos";130;120;250
"De 40 a 44 anos";129;120;249
"De 45 a 49 anos";136;114;250
"De 50 a 54 anos";126;116;242
"De 55 a 59 anos";106;112;218
"De 60 a 64 anos";109;95;204
"De 65 a 69 anos";92;74;166
"De 70 a 74 anos";64;50;114
"De 75 a 79 anos";46;38;84
"De 80 anos ou mais";51;49;100
"Total";1814;1669;3483
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

