 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 313160 Iraí de Minas
Período:2000
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";306;309;615
"De 5 a 9 anos";299;286;585
"De 10 a 14 anos";290;278;568
"De 15 a 19 anos";291;288;579
"De 20 a 24 anos";317;239;556
"De 25 a 29 anos";292;271;563
"De 30 a 34 anos";299;232;531
"De 35 a 39 anos";254;213;467
"De 40 a 44 anos";222;168;390
"De 45 a 49 anos";164;145;309
"De 50 a 54 anos";132;120;252
"De 55 a 59 anos";124;101;225
"De 60 a 64 anos";83;73;156
"De 65 a 69 anos";70;48;118
"De 70 a 74 anos";41;28;69
"De 75 a 79 anos";21;29;50
"De 80 anos ou mais";9;13;22
"Total";3214;2841;6055
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

